ID,Company,Year,NUM_OF_EMPLOYEES,NET_ASSETS,NET_INCOME,SALES_REV_TURN,HISTORICAL_MARKET_CAP,ESG_DISCLOSURE_SCORE,GOVNCE_DISCLOSURE_SCORE,ENVIRON_DISCLOSURE_SCORE,SOCIAL_DISCLOSURE_SCORE,TOT_GHG_CO2_EM_INTENS_PER_SALES,PCT_WOMEN_EMPLOYEES,PCT_WOMEN_ON_BOARD,ROBECOSAM_TOTAL_STBLY_RANK,ROBECOSAM_SOCIAL_DIMENSION_RANK,ROBECOSAM_ENV_DIMENSION_RANK,ROBECOSAM_ECON_DIMENSION_RANK,Twitter_Username,followers_countÿ,friends_countÿ ,created_at,Tweets,Likes,Retweets,Images,Proportion relevant,likes per relevant,retweets per relevant,FB Posts,Likes,Shares,FB Images,FB Proportion relevant,FB likes per relevant,FB shares per relevant
6,CMI US EQUITY,2018,62610,8259,2141,23771,21061.664,57.8512,66.0714,60.4651,43.8596,36.7189,26.87,25,84,75,81,91,@Cummins,124987,405,40120.93472,21.5,26.33,6.37,32.17054264,3.488372,27.77777778,7.666666667,5.75,467.3768116,111.3623188,52.17391304,2.898550725,117.5,23.5
7,FLR US EQUITY,2016,61551,3242.831,281.4,19036.525,7313.8555,46.281,64.2857,46.5116,28.0702,3.3935,#N/A N/A,16.667,55,58,39,55,@FluorCorp,14123,657,40414.89061,37.67,8.72,6.13,71.46017699,1.327434,8.666666667,5.5,0,0,0,0,0,0,0
7,FLR US EQUITY,2017,56706,3492.399,191.38,19520.97,7226.7814,47.5207,69.6429,46.5116,28.0702,2.9353,#N/A N/A,15.385,50,46,36,64,@FluorCorp,14123,657,40414.89061,36.08,16.7,8.26,90.30023095,0.692840647,20.66666667,10,15.33333333,114.8913043,8.592391304,79.89130435,1.086956522,99,3
7,FLR US EQUITY,2018,53349,3118.05,224.83,19166.599,4496.8531,45.0413,69.6429,39.5349,33.3333,5.9348,24,16.667,55,45,38,69,@FluorCorp,14123,657,40414.89061,35.75,17.29,6.09,96.5034965,1.631701632,16.14285714,5.857142857,34.75,117.2997602,9.06235012,91.84652278,1.678657074,114.1428571,10.42857143
8,IR US EQUITY,2016,45000,6718.3,1476.2,13508.9,19435.8343,49.5868,69.6429,45.7364,38.5965,44.5688,22.28,33.333,92,81,83,92,@IngersollRand,7703,225,39827.76826,10.08,4,2.68,22.31404959,15.702479,3.736842105,1.947368421,8.166666667,14.87755102,6.357142857,38.7755102,25.51020408,16.56,8.8
8,IR US EQUITY,2017,46000,7206.9,1302.6,14197.6,22251.046,52.8926,69.6429,48.062,47.3684,39.6773,22.76,20,94,88,92,95,@IngersollRand,7703,225,39827.76826,8.08,3.68,2.25,13.40206186,17.525773,3.470588235,2.352941176,8.166666667,14.90816327,3.612244898,14.28571429,42.85714286,12.23809524,1.761904762
8,IR US EQUITY,2018,49000,7064.8,1337.6,15668.2,22069.0199,52.4793,64.2857,49.6124,47.3684,34.2595,23.1,33.333,94,86,80,95,@IngersollRand,7703,225,39827.76826,23.83,5.55,2.01,24.82517483,20.979021,4.85,2.066666667,20,16.98333333,2.441666667,20.41666667,35,12.76190476,1.595238095
9,JCI US EQUITY,2016,209000,25324,-868,20837,43542.5799,55.7851,71.4286,49.6124,54.386,#N/A N/A,29.235,9.091,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@johnsoncontrols,25919,628,41352.57153,26.08,15.42,8.66,97.44408946,5.750799,9.666666667,4.666666667,21.83333333,128.2442748,19.01145038,99.23664122,12.59541985,95.3030303,14.24242424
9,JCI US EQUITY,2017,120000,21578,1611,30172,37388.1117,63.2231,71.4286,61.2403,59.6491,79.1386,29,10,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@johnsoncontrols,25919,628,41352.57153,25.33,14.21,6.66,96.71052632,5.592105,15.05882353,8.117647059,21,116.8293651,18.57936508,63.0952381,11.50793651,101.7586207,14.34482759
9,JCI US EQUITY,2018,122000,22458,2162,23400,32375.2436,62.3967,71.4286,62.0155,54.386,100.3244,22,27.273,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,@johnsoncontrols,25919,628,41352.57153,30,12.82,4.46,82.22222222,3.888889,12.5,4.428571429,29.5,77.38983051,11.92655367,49.71751412,7.344632768,52.38461538,7.884615385
10,LMT US EQUITY,2016,97000,1606,5173,47290,72232.66,54.1322,71.4286,48.8372,49.1228,21.2802,23,33.333,100,96,96,100,@LockheedMartin,394664,434,39960.52366,99.58,106.74,43.45,89.37238494,0.753138075,89.55555556,44.55555556,42.33333333,1750.387795,233.484252,75.39370079,2.165354331,1247.545455,40.54545455
10,LMT US EQUITY,2017,100000,-776,1963,49960,91178.2,50,76.7857,38.7597,49.1228,20.7606,22.5,20,91,86,77,100,@LockheedMartin,394664,434,39960.52366,100.17,308.38,83.51,89.76705491,0.332778702,573.5,169.75,46,1621.335145,170.0126812,69.38405797,1.086956522,1545.333333,96.83333333
10,LMT US EQUITY,2018,105000,1449,5046,53762,73577.04,49.1736,76.7857,37.2093,49.1228,17.9474,22.6,25,96,88,88,100,@LockheedMartin,394664,434,39960.52366,124.67,126.55,36.34,66.71122995,0.534759358,46.375,14,45.83333333,896.4254545,187.6927273,56.90909091,0.909090909,236.6,39.4
11,NOC US EQUITY,2016,67000,5259,2043,24706,40717.3766,57.8512,69.6429,49.6124,64.9123,21.5091,26.9,21.429,67,46,50,67,@northropgrumman,189835,672,39673.80076,26.17,44.18,23.49,56.36942675,0.318471338,28,17,15.75,429.7566138,94.76190476,44.97354497,0.529100529,88,13
11,NOC US EQUITY,2017,70000,7132,2869,26004,53428.6173,57.0248,69.6429,48.062,64.9123,19.6591,26.6,23.077,73,73,59,77,@northropgrumman,189835,672,39673.80076,23.83,33.33,13.39,80.76923077,0.34965035,23,16,26.83333333,208.2670807,37.31677019,56.52173913,0.931677019,114.3333333,11.66666667
